Generating SQLite file /analysis/profile.sqlite from /profiles/deepseek-v4-decode-baseline.nsys-rep
Processing [/analysis/profile.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.4.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
1.6,295539940,40960,7215.3,7264.0,3360,8512,474.8,_dsv4_topk_kernel
1.5,283461256,20400,13895.2,13697.0,13280,14912,371.3,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
1.4,253153606,44032,5749.3,5728.0,5312,10848,167.6,"void vllm::deepseek_v4_fused_ops::fusedDeepseekV4QNormRopeKVRopeQuantInsertKernel<c10::BFloat16, (int)16>(const T1 *, T1 *, const T1 *, unsigned char *, const long *, const long *, const float *, float, int, int, int, int, int)"
1.1,209173881,44032,4750.5,4768.0,4256,6784,126.2,"void vllm::moe::moe_align_block_size_kernel<int>(const T1 *, int *, int *, int *, int *, int, int, int, int, unsigned long, int *, int, int, bool)"
1.1,207455778,43860,4730.0,4512.0,4288,8640,366.9,_bf16_gemv_kernel
0.9,165144941,1024,161274.4,157377.5,134786,831174,32724.1,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.9,163146548,63488,2569.7,2560.0,2400,15041,378.4,_save_partial_states_kernel
0.8,147938309,7140,20719.7,20704.0,20000,25183,316.4,"void humming<MmaOpClass, Shape<(unsigned int)0, (unsigned int)4096, (unsigned int)512>, Shape<(unsigned int)16, (unsigned int)256, (unsigned int)64>, Shape<(unsigned int)16, (unsigned int)64, (unsigned int)32>, Shape<(unsigned int)0, (unsigned int)0, (unsigned int)0>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, IntegerType<(bool)0, (unsigned int)4>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, LayerConfig, ComputeConfig, TuningConfig>(KernelTensorParamType<T12::kUseTmaA>::Type, KernelTensorParamType<T12::kUseTmaB>::Type, KernelTensorParamType<T12::kUseTmaC>::Type, KernelTensorParamType<T12::kUseTmaAS>::Type, KernelTensorParamType<T12::kUseTmaBS>::Type, KernelTensorParamType<T12::kUseTmaBZP>::Type, KernelTensorParamType<T12::kUseTmaBias>::Type, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, CUtensorMap_st *, int *, unsigned int, unsigned int, bool)"
0.7,125870236,44032,2858.6,2720.0,1984,5376,452.1,"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vllm::packed_silu_kernel<__nv_bfloat162>, (bool)1, (bool)1, (bool)1, (bool)0>(T1 *, const T1 *, int, float, float, float)"
0.7,125298109,21420,5849.6,5665.0,5472,7808,556.4,_fp8_paged_mqa_logits_kernel
0.6,113665235,44032,2581.4,2592.0,2400,3936,71.4,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.6,113467652,44032,2576.9,1920.0,1792,7232,972.9,triton_poi_fused_clamp_copy__mul_silu_slice_0
0.6,109099318,44032,2477.7,2624.0,1504,4160,412.8,"void vllm::moe::count_and_sort_expert_tokens_kernel<int>(const T1 *, int *, int *, int *, unsigned long, int, int, int, bool)"
0.5,99141264,41904,2365.9,1696.0,1472,45472,3036.9,_fused_kv_compress_norm_rope_insert_sparse_attn
0.5,94459979,21420,4409.9,4385.0,4128,4929,106.6,"void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatter_gather_internal_kernel<(bool)0, at::native::OpaqueType<(int)2>, int>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.5,90326170,44032,2051.4,2080.0,1920,3168,93.6,_fused_q_kv_rmsnorm_kernel
0.4,81686420,44032,1855.2,1824.0,1760,3680,107.3,moe_fused_mul_sum_kernel
0.4,79510853,21420,3712.0,3712.0,3264,5120,104.8,"void vllm::persistent::persistent_topk_kernel<(int)512, (unsigned int)4>(vllm::persistent::PersistentTopKParams)"
0.4,78558754,44032,1784.1,1728.0,1536,2528,152.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.4,76221217,44032,1731.0,1728.0,1664,2368,40.9,_inverse_rope_gptj_kernel
0.3,61260185,21420,2860.0,2848.0,2719,3072,40.7,_fused_indexer_q_rope_quant_kernel
0.3,55699143,21504,2590.2,1568.0,1536,19201,1784.4,_fused_kv_compress_norm_rope_insert_indexer_attn
0.3,49884329,22444,2222.6,2208.0,2016,2688,38.4,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.2,44275000,21420,2067.0,2080.0,1983,2240,29.9,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.2,42786562,21420,1997.5,1984.0,1856,2176,30.7,_pack_global_topk_ragged_kernel
0.2,37506901,1024,36627.8,36641.0,35424,37376,309.2,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
0.2,36560159,172,212559.1,190610.5,117505,565382,77457.0,"void humming<MmaOpClass, Shape<(unsigned int)0, (unsigned int)1024, (unsigned int)4096>, Shape<(unsigned int)16, (unsigned int)256, (unsigned int)128>, Shape<(unsigned int)16, (unsigned int)64, (unsigned int)64>, Shape<(unsigned int)0, (unsigned int)0, (unsigned int)0>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, IntegerType<(bool)0, (unsigned int)2>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, LayerConfig, ComputeConfig, TuningConfig>(KernelTensorParamType<T12::kUseTmaA>::Type, KernelTensorParamType<T12::kUseTmaB>::Type, KernelTensorParamType<T12::kUseTmaC>::Type, KernelTensorParamType<T12::kUseTmaAS>::Type, KernelTensorParamType<T12::kUseTmaBS>::Type, KernelTensorParamType<T12::kUseTmaBZP>::Type, KernelTensorParamType<T12::kUseTmaBias>::Type, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, CUtensorMap_st *, int *, unsigned int, unsigned int, bool)"
0.2,35241190,21420,1645.2,1632.0,1600,1792,20.6,_compute_topk_lens_kernel
0.2,31460356,24652,1276.2,1248.0,1216,1760,54.0,_lengths_to_indptr_kernel
0.2,31342750,24660,1271.0,1280.0,1184,1536,28.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.1,16827621,5120,3286.6,3232.0,3008,3712,155.9,_compute_slot_mapping_kernel
0.1,14449363,3072,4703.6,4768.0,2400,6688,915.3,"void vllm::moe::dsv4HashTopkSoftplusSqrt<int, int>(const float *, float *, T1 *, int, int, float, const T2 *, const T2 *, const bool *)"
0.1,14438024,8352,1728.7,1696.0,1504,2112,137.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,13900776,1364,10191.2,4096.0,3809,30112,10633.0,hc_prenorm_gemm_tilelang_kernel
0.1,13863135,688,20149.9,19473.0,8928,58432,8054.1,"void marlin::Marlin<(long)1125899906909960, (long)2814749767172868, (long)1125899906909960, (long)1125899906909960, (int)128, (int)2, (int)4, (int)8, (bool)0, (int)4, (int)8, (bool)0>(const int4 *, const int4 *, int4 *, int4 *, const int4 *, const float *, const int4 *, const float *, const int4 *, const int *, int, int, int, int, int, int *, bool, bool, bool, int)"
0.1,12542455,1024,12248.5,12256.0,11232,13825,305.4,hc_head_fuse_tilelang_kernel
0.0,8551892,164,52145.7,50096.5,47424,61824,5017.4,ampere_s16816gemm_bf16_64x64_sliced1x2_ldg8_stages_64x5_tn
0.0,7503725,1024,7327.9,7328.0,7264,7904,45.0,mhc_pre_big_fuse_broadcast_with_norm_tilelang_kernel
0.0,6973803,1196,5830.9,6432.0,1952,6592,1502.5,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,6942654,3072,2260.0,2240.0,2080,2528,104.6,_compressed_slot_mapping_kernel
0.0,6406297,172,37245.9,37217.0,36673,38176,294.0,"void marlin::Marlin<(long)1125899906909960, (long)2814749767172868, (long)1125899906909960, (long)1125899906909960, (int)128, (int)4, (int)4, (int)8, (bool)0, (int)4, (int)8, (bool)0>(const int4 *, const int4 *, int4 *, int4 *, const int4 *, const float *, const int4 *, const float *, const int4 *, const int *, int, int, int, int, int, int *, bool, bool, bool, int)"
0.0,5750359,1364,4215.8,4128.0,3904,5056,244.7,mhc_post_tilelang_kernel
0.0,5557339,3232,1719.5,1760.0,1344,1920,128.6,_pack_dense_prefix_to_ragged_kernel
0.0,5412402,2048,2642.8,2656.0,2400,2880,95.5,_compute_swa_indices_and_lens_kernel
0.0,5384459,1024,5258.3,5280.0,5024,5408,61.7,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,4977463,2048,2430.4,2416.0,2080,4960,343.3,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,4169166,3072,1357.2,1344.0,1312,1409,30.4,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,3944513,3064,1287.4,1280.0,1248,1345,23.5,"void at::native::unrolled_elementwise_kernel<at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>, (int)4, TrivialOffsetCalculator<(int)0, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
0.0,3865182,1196,3231.8,3168.0,3104,3840,170.4,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,3851183,2052,1876.8,1952.0,1728,2304,124.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<int, int, int, at::native::binary_internal::div_floor_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int, int) (instance 1)]>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,3850983,172,22389.4,22240.0,21600,28545,650.6,"void marlin::Marlin<(long)1125899906909960, (long)2814749767172868, (long)1125899906909960, (long)1125899906909960, (int)256, (int)2, (int)16, (int)4, (bool)0, (int)4, (int)8, (bool)0>(const int4 *, const int4 *, int4 *, int4 *, const int4 *, const float *, const int4 *, const float *, const int4 *, const int *, int, int, int, int, int, int *, bool, bool, bool, int)"
0.0,3798558,1024,3709.5,3776.0,3456,3936,133.0,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,3262395,2048,1593.0,1600.0,1536,1665,31.5,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<long>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,3154652,28,112666.1,119633.0,93569,120737,9905.5,"void humming<MmaOpClass, Shape<(unsigned int)0, (unsigned int)4096, (unsigned int)512>, Shape<(unsigned int)16, (unsigned int)256, (unsigned int)128>, Shape<(unsigned int)16, (unsigned int)64, (unsigned int)64>, Shape<(unsigned int)0, (unsigned int)0, (unsigned int)0>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, IntegerType<(bool)0, (unsigned int)4>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, FloatingPointType<(unsigned int)16, (unsigned int)8, (unsigned int)7>, LayerConfig, ComputeConfig, TuningConfig>(KernelTensorParamType<T12::kUseTmaA>::Type, KernelTensorParamType<T12::kUseTmaB>::Type, KernelTensorParamType<T12::kUseTmaC>::Type, KernelTensorParamType<T12::kUseTmaAS>::Type, KernelTensorParamType<T12::kUseTmaBS>::Type, KernelTensorParamType<T12::kUseTmaBZP>::Type, KernelTensorParamType<T12::kUseTmaBias>::Type, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, CUtensorMap_st *, int *, unsigned int, unsigned int, bool)"
0.0,2976343,1024,2906.6,2912.0,1728,3072,80.7,_build_c128a_topk_metadata_kernel
0.0,2954234,172,17175.8,15840.0,15424,28128,3532.8,ampere_bf16_s16816gemm_bf16_64x128_ldg8_f2f_stages_64x4_tn
0.0,2784829,1024,2719.6,2720.0,2656,3168,29.8,"void vllm::rms_norm_kernel<c10::BFloat16, (int)8, (int)2, (bool)1>(T1 *, const T1 *, long, long, long, long, long, const T1 *, long, float, int, int)"
0.0,2352091,1020,2306.0,2240.0,2176,3008,210.9,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
0.0,2334962,1024,2280.2,2240.0,2208,3200,86.9,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16, bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,2145518,1020,2103.4,2016.0,1984,3104,164.5,triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mul_sub_0
0.0,1844528,1024,1801.3,1792.0,1760,1952,21.6,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctor_add<long>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,1679635,1024,1640.3,1632.0,1600,1760,16.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,1634094,1020,1602.1,1664.0,1344,2048,145.0,triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_ge_lt_1
0.0,1595439,172,9275.8,8016.5,7776,10881,1401.7,_sparse_attn_prefill_ragged_kernel
0.0,1470998,1020,1442.2,1440.0,1408,1473,14.0,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffsetCalculator<(int)2, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
0.0,1470389,1024,1435.9,1440.0,1408,1472,15.2,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
0.0,983242,336,2926.3,2944.0,2336,3392,188.2,_dequantize_and_gather_k_kernel
0.0,337858,172,1964.3,1904.0,1728,2208,130.2,_combine_topk_swa_indices_kernel
0.0,150689,84,1793.9,1760.0,1408,2880,364.0,_fill_short_context_topk_indices
0.0,20704,8,2588.0,2592.0,2496,2688,91.2,_zero_kv_blocks_kernel
0.0,19392,12,1616.0,1440.0,1376,2016,290.3,kernel
0.0,9760,4,2440.0,2432.0,2432,2464,16.0,"void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_hub<int, int, int, unsigned int, std::plus<int>>::Policy1000, const int *, int *, at_cuda_detail::cub::ScanTileState<int, (bool)1>, std::plus<int>, at_cuda_detail::cub::NullType, unsigned int, int, (bool)0, at_cuda_detail::cub::NullType>(T2, T3, T4, int, T5, T6, T7)"
0.0,8672,4,2168.0,2176.0,2112,2208,48.0,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.0,8000,4,2000.0,2000.0,1984,2016,18.5,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<int>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,6304,4,1576.0,1568.0,1568,1600,16.0,triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0
0.0,5184,4,1296.0,1296.0,1280,1312,18.5,"void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<int, (bool)1>>(T1, int)"

